category,precision,recall,f1-score,roc-auc
add_task,0.1429,0.1429,0.1429,0.4312
condition,0.0,0.0,0.0,0.5847
edit_var,0.4369,0.7333,0.5475,0.5758
template,0.7,0.2,0.3048,0.7069
