category,precision,recall,f1-score,roc-auc
add_task,0.1619,0.2857,0.2065,0.3931
condition,0.4584,0.5429,0.4946,0.8005
edit_var,0.3524,0.1333,0.1919,0.5498
template,0.3881,0.6,0.4703,0.7593
