category,precision,recall,f1-score,roc-auc
add_task,0.0,0.0,0.0,0.3492
condition,1.0,0.2571,0.4056,0.6735
edit_var,0.4671,0.6667,0.5491,0.513
template,0.1967,0.2,0.1972,0.4428
