category,precision,recall,f1-score,roc-auc
add_task,0.0,0.0,0.0,0.4942
condition,0.6,0.2286,0.3289,0.7725
edit_var,0.4899,0.9467,0.6456,0.6705
template,1.0,0.2,0.3333,0.5276
