category,precision,recall,f1-score,roc-auc
add_task,0.1659,0.3143,0.2171,0.528
condition,0.2667,0.1143,0.16,0.4296
edit_var,0.381,0.36,0.3701,0.4821
template,0.1,0.08,0.0889,0.48
